XboxApp

112.31.159.28	(中国安徽安庆 移动)
223.247.67.44	(中国安徽蚌埠 电信)
120.209.209.95	(中国安徽亳州 移动)
223.244.13.64	(中国安徽合肥 电信)
58.242.249.131	(中国安徽合肥 联通)
112.132.250.38	(中国安徽马鞍山 联通)
60.171.255.50	(中国安徽宿州 电信)
223.247.113.54	(中国安徽芜湖 电信)
36.110.220.113	(中国北京 电信)
106.39.192.141	(中国北京 电信)
220.181.141.65	(中国北京 电信)
123.117.133.136	(中国北京 联通)
123.125.46.6	(中国北京 联通)
113.249.87.128	(中国重庆 电信)
219.152.87.102	(中国重庆 电信)
58.144.241.139	(中国重庆 联通)
111.10.71.129	(中国重庆 移动)
221.178.10.159	(中国重庆 移动)
221.178.11.168	(中国重庆 移动)
27.155.68.12	(中国福建福州 电信)
59.56.28.53	(中国福建福州 电信)
117.27.148.185	(中国福建福州 电信)
120.39.213.138	(中国福建福州 电信)
120.39.215.81	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
112.48.230.11	(中国福建福州 移动)
220.249.135.15	(中国福建宁德 联通)
27.152.188.161	(中国福建泉州 电信)
27.152.189.77	(中国福建泉州 电信)
117.24.10.58	(中国福建泉州 电信)
112.48.194.193	(中国福建泉州 移动)
125.74.134.75	(中国甘肃兰州 电信)
117.156.210.9	(中国甘肃平凉 移动)
116.31.102.51	(中国广东佛山 电信)
120.232.97.96	(中国广东佛山 移动)
14.22.20.212	(中国广东广州 电信)
120.234.167.105	(中国广东广州 移动)
183.240.242.129	(中国广东广州 移动)
120.233.1.242	(中国广东惠州 移动)
120.196.204.102	(中国广东江门 移动)
120.240.89.62	(中国广东江门 移动)
183.240.90.193	(中国广东茂名 移动)
183.235.178.11	(中国广东阳江 移动)
111.45.74.114	(中国广东湛江 移动)
120.233.197.157	(中国广东肇庆 移动)
120.240.112.124	(中国广东肇庆 移动)
120.240.119.246	(中国广东肇庆 移动)
183.61.10.36	(中国广东珠海 电信)
182.91.196.170	(中国广西桂林 联通)
171.105.63.46	(中国广西南宁 电信)
222.218.188.137	(中国广西南宁 电信)
220.200.130.81	(中国广西南宁 联通)
220.200.142.215	(中国广西南宁 联通)
36.136.78.4	(中国广西南宁 移动)
36.136.99.147	(中国广西南宁 移动)
119.0.79.86	(中国贵州贵阳 电信)
203.195.76.30	(中国贵州贵阳 电信)
61.243.26.26	(中国贵州贵阳 联通)
116.171.96.20	(中国贵州黔南布依族苗族自治州 联通)
112.67.249.17	(中国海南海口 电信)
124.225.5.142	(中国海南海口 电信)
218.77.192.52	(中国海南海口 电信)
183.255.16.70	(中国海南海口 移动)
101.28.130.2	(中国河北邯郸 联通)
124.236.89.47	(中国河北石家庄 电信)
124.236.90.13	(中国河北石家庄 电信)
106.116.188.83	(中国河北唐山 电信)
106.117.208.14	(中国河北唐山 电信)
219.148.113.33	(中国河北邢台 电信)
106.8.153.33	(中国河北张家口 电信)
111.6.13.106	(中国河南安阳 移动)
106.46.26.88	(中国河南洛阳 电信)
123.101.232.16	(中国河南商丘 电信)
1.194.253.219	(中国河南新乡 电信)
1.194.192.184	(中国河南郑州 电信)
106.42.232.174	(中国河南郑州 电信)
183.205.174.137	(中国河南郑州 移动)
183.205.176.9	(中国河南郑州 移动)
183.205.177.11	(中国河南郑州 移动)
183.205.179.80	(中国河南郑州 移动)
42.101.21.238	(中国黑龙江哈尔滨 电信)
42.185.159.88	(中国黑龙江哈尔滨 电信)
1.58.38.22	(中国黑龙江哈尔滨 联通)
1.58.198.138	(中国黑龙江哈尔滨 联通)
221.209.95.106	(中国黑龙江齐齐哈尔 联通)
222.170.203.83	(中国黑龙江双鸭山 电信)
113.3.60.129	(中国黑龙江绥化 联通)
113.6.93.27	(中国黑龙江绥化 联通)
113.7.203.4	(中国黑龙江绥化 联通)
