XboxCn1

223.247.67.45	(中国安徽蚌埠 电信)
117.68.47.12	(中国安徽合肥 电信)
220.180.243.215	(中国安徽合肥 电信)
223.244.13.67	(中国安徽合肥 电信)
112.132.250.40	(中国安徽马鞍山 联通)
117.68.75.94	(中国安徽芜湖 电信)
36.110.220.118	(中国北京 电信)
106.39.192.141	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
119.84.164.226	(中国重庆 电信)
183.66.110.149	(中国重庆 电信)
219.152.87.111	(中国重庆 电信)
58.144.228.61	(中国重庆 联通)
58.144.241.166	(中国重庆 联通)
113.207.53.2	(中国重庆 联通)
221.178.10.164	(中国重庆 移动)
59.56.28.39	(中国福建福州 电信)
120.39.213.143	(中国福建福州 电信)
120.39.215.148	(中国福建福州 电信)
125.77.181.192	(中国福建福州 电信)
36.250.233.2	(中国福建福州 联通)
175.43.192.188	(中国福建福州 联通)
36.249.91.78	(中国福建泉州 联通)
117.31.116.61	(中国福建厦门 电信)
117.31.118.30	(中国福建厦门 电信)
120.39.163.180	(中国福建厦门 电信)
112.48.153.83	(中国福建厦门 移动)
118.180.0.73	(中国甘肃兰州 电信)
125.74.134.75	(中国甘肃兰州 电信)
36.142.11.22	(中国甘肃兰州 移动)
113.105.171.80	(中国广东东莞 电信)
119.147.113.52	(中国广东东莞 电信)
119.147.120.134	(中国广东东莞 电信)
121.12.109.8	(中国广东东莞 电信)
183.61.239.183	(中国广东东莞 电信)
116.31.102.53	(中国广东佛山 电信)
14.22.20.210	(中国广东广州 电信)
14.29.100.65	(中国广东广州 电信)
120.234.167.109	(中国广东广州 移动)
120.240.89.122	(中国广东江门 移动)
183.240.90.196	(中国广东茂名 移动)
59.36.133.253	(中国广东深圳 电信)
183.36.7.124	(中国广东深圳 电信)
58.251.87.217	(中国广东深圳 联通)
183.235.178.75	(中国广东阳江 移动)
112.60.89.14	(中国广东湛江 移动)
14.119.92.7	(中国广东肇庆 电信)
183.61.10.36	(中国广东珠海 电信)
182.91.196.168	(中国广西桂林 联通)
182.91.249.72	(中国广西桂林 联通)
182.91.254.87	(中国广西桂林 联通)
171.105.63.45	(中国广西南宁 电信)
211.97.84.60	(中国广西南宁 联通)
36.136.105.50	(中国广西南宁 移动)
111.123.57.106	(中国贵州贵阳 电信)
113.125.253.44	(中国贵州贵阳 电信)
119.0.79.10	(中国贵州贵阳 电信)
203.195.76.31	(中国贵州贵阳 电信)
61.243.27.192	(中国贵州贵阳 联通)
220.197.201.55	(中国贵州贵阳 联通)
116.171.87.132	(中国贵州黔南布依族苗族自治州 联通)
124.225.108.162	(中国海南海口 电信)
124.225.121.160	(中国海南海口 电信)
218.77.192.52	(中国海南海口 电信)
218.77.196.32	(中国海南海口 电信)
113.59.41.38	(中国海南海口 联通)
60.9.4.224	(中国河北衡水 联通)
61.182.134.220	(中国河北石家庄 联通)
106.116.188.83	(中国河北唐山 电信)
106.117.219.136	(中国河北唐山 电信)
101.72.226.59	(中国河北唐山 联通)
36.144.34.150	(中国河北唐山 移动)
106.8.153.31	(中国河北张家口 电信)
123.12.235.51	(中国河南鹤壁 联通)
106.46.26.88	(中国河南洛阳 电信)
61.163.9.43	(中国河南洛阳 联通)
1.194.174.217	(中国河南郑州 电信)
1.194.175.15	(中国河南郑州 电信)
1.194.195.128	(中国河南郑州 电信)
106.42.232.102	(中国河南郑州 电信)
123.6.40.140	(中国河南郑州 联通)
111.6.214.187	(中国河南郑州 移动)
111.6.217.190	(中国河南郑州 移动)
111.7.189.43	(中国河南郑州 移动)
183.204.227.6	(中国河南郑州 移动)
183.205.174.139	(中国河南郑州 移动)
183.205.177.16	(中国河南郑州 移动)
183.205.179.82	(中国河南郑州 移动)
183.205.180.199	(中国河南郑州 移动)
42.101.21.235	(中国黑龙江哈尔滨 电信)
42.101.23.55	(中国黑龙江哈尔滨 电信)
113.7.203.7	(中国黑龙江绥化 联通)
122.188.1.42	(中国湖北黄冈 联通)
122.188.44.183	(中国湖北黄冈 联通)
122.188.45.50	(中国湖北黄冈 联通)
122.189.171.104	(中国湖北荆州 联通)
27.18.12.9	(中国湖北武汉 电信)
119.96.5.63	(中国湖北武汉 电信)
119.96.6.117	(中国湖北武汉 电信)
223.210.4.98	(中国湖北武汉 电信)
183.95.221.168	(中国湖北咸宁 联通)
122.189.225.231	(中国湖北襄阳 联通)
111.48.51.10	(中国湖北襄阳 移动)
175.4.49.58	(中国湖南郴州 电信)
124.232.233.185	(中国湖南长沙 电信)
175.12.73.18	(中国湖南长沙 电信)
175.12.116.219	(中国湖南长沙 电信)
116.162.16.30	(中国湖南长沙 联通)
36.158.209.213	(中国湖南长沙 移动)
120.226.10.140	(中国湖南长沙 移动)
120.226.47.26	(中国湖南长沙 移动)
120.226.71.132	(中国湖南长沙 移动)
120.226.81.56	(中国湖南长沙 移动)
120.226.149.89	(中国湖南长沙 移动)
120.226.153.153	(中国湖南长沙 移动)
183.214.132.51	(中国湖南长沙 移动)
61.161.0.184	(中国吉林四平 联通)
42.97.34.89	(中国吉林长春 电信)
106.41.206.187	(中国吉林长春 电信)
116.142.244.149	(中国吉林长春 联通)
58.216.20.147	(中国江苏常州 电信)
58.216.62.65	(中国江苏常州 电信)
112.82.180.43	(中国江苏常州 联通)
114.112.216.10	(中国江苏常州 联通)
121.228.190.73	(中国江苏苏州 电信)
122.195.144.46	(中国江苏宿迁 联通)
36.155.107.10	(中国江苏无锡 移动)
122.192.127.59	(中国江苏盐城 联通)
58.220.78.17	(中国江苏扬州 电信)
58.220.79.19	(中国江苏扬州 电信)
180.97.176.24	(中国江苏扬州 电信)
223.111.191.68	(中国江苏扬州 移动)
222.186.163.56	(中国江苏镇江 电信)
115.150.31.149	(中国江西赣州 电信)
115.150.38.233	(中国江西赣州 电信)
220.177.175.217	(中国江西吉安 电信)
117.21.29.134	(中国江西南昌 电信)
116.153.4.139	(中国江西南昌 联通)
