XboxCn2

211.91.65.209	(中国安徽合肥 联通)
36.110.220.110	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
183.66.103.184	(中国重庆 电信)
222.180.167.123	(中国重庆 电信)
58.144.229.133	(中国重庆 联通)
58.144.231.65	(中国重庆 联通)
117.27.251.200	(中国福建福州 电信)
121.204.225.177	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
117.24.10.16	(中国福建泉州 电信)
58.251.60.42	(中国广东深圳 联通)
183.237.146.115	(中国广东中山 移动)
58.42.59.70	(中国贵州贵阳 电信)
119.0.92.237	(中国贵州贵阳 电信)
183.255.33.66	(中国海南海口 移动)
221.195.206.2	(中国河北沧州 联通)
27.128.210.120	(中国河北廊坊 电信)
106.118.30.202	(中国河北廊坊 电信)
121.29.2.247	(中国河北石家庄 联通)
219.148.113.32	(中国河北邢台 电信)
61.54.15.1	(中国河南安阳 联通)
221.15.64.7	(中国河南洛阳 联通)
36.99.225.41	(中国河南郑州 电信)
106.42.232.103	(中国河南郑州 电信)
123.6.82.134	(中国河南郑州 联通)
123.6.105.21	(中国河南郑州 联通)
183.205.174.139	(中国河南郑州 移动)
111.42.112.118	(中国黑龙江哈尔滨 移动)
111.43.169.79	(中国黑龙江哈尔滨 移动)
1.56.98.24	(中国黑龙江鹤岗 联通)
218.10.9.77	(中国黑龙江齐齐哈尔 联通)
122.189.237.7	(中国湖北荆门 联通)
111.48.130.192	(中国湖北武汉 移动)
220.202.42.41	(中国湖北咸宁 联通)
111.47.227.41	(中国湖北襄阳 移动)
111.48.171.79	(中国湖北襄阳 移动)
124.232.233.180	(中国湖南长沙 电信)
116.162.119.41	(中国湖南长沙 联通)
120.226.50.138	(中国湖南长沙 移动)
183.215.184.69	(中国湖南长沙 移动)
58.20.204.41	(中国湖南株洲 联通)
106.41.206.95	(中国吉林长春 电信)
58.216.20.147	(中国江苏常州 电信)
221.181.202.56	(中国江苏南京 移动)
223.109.115.1	(中国江苏徐州 移动)
49.71.74.49	(中国江苏扬州 电信)
222.186.163.56	(中国江苏镇江 电信)
106.227.203.193	(中国江西九江 电信)
117.163.57.171	(中国江西南昌 移动)
42.202.165.102	(中国辽宁大连 电信)
42.7.60.221	(中国辽宁大连 联通)
218.60.79.51	(中国辽宁大连 联通)
42.248.133.143	(中国辽宁沈阳 电信)
123.184.27.100	(中国辽宁沈阳 电信)
222.75.36.76	(中国宁夏银川 电信)
116.172.74.152	(中国宁夏中卫 联通)
150.138.233.227	(中国山东济南 电信)
120.220.90.70	(中国山东济南 移动)
60.211.209.82	(中国山东济宁 联通)
182.40.45.81	(中国山东青岛 电信)
119.167.229.41	(中国山东青岛 联通)
120.221.29.41	(中国山东青岛 移动)
60.221.18.41	(中国山西临汾 联通)
124.167.222.200	(中国山西朔州 联通)
211.93.211.191	(中国山西太原 联通)
221.204.14.183	(中国山西太原 联通)
113.142.198.41	(中国陕西西安 电信)
61.170.101.155	(中国上海 电信)
221.236.11.202	(中国四川成都 电信)
111.161.40.77	(中国天津 联通)
125.38.5.10	(中国天津 联通)
125.38.7.5	(中国天津 联通)
49.119.112.226	(中国新疆乌鲁木齐 电信)
182.247.251.83	(中国云南昆明 电信)
36.25.253.132	(中国浙江湖州 电信)
183.134.11.41	(中国浙江嘉兴 电信)
183.245.21.4	(中国浙江金华 移动)
115.231.33.5	(中国浙江宁波 电信)
122.224.48.134	(中国浙江绍兴 电信)
122.228.221.118	(中国浙江温州 电信)
