assets1.xboxlive.cn

223.215.189.39	(中国安徽池州 电信)
220.180.243.220	(中国安徽合肥 电信)
223.244.5.94	(中国安徽合肥 电信)
223.244.13.67	(中国安徽合肥 电信)
112.30.189.76	(中国安徽合肥 移动)
117.68.75.94	(中国安徽芜湖 电信)
36.110.220.113	(中国北京 电信)
106.39.192.140	(中国北京 电信)
106.120.187.172	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
221.178.10.160	(中国重庆 移动)
117.27.148.249	(中国福建福州 电信)
121.204.230.168	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
27.152.188.130	(中国福建泉州 电信)
110.88.142.107	(中国福建厦门 电信)
117.31.116.61	(中国福建厦门 电信)
36.142.12.17	(中国甘肃兰州 移动)
117.156.210.9	(中国甘肃平凉 移动)
14.152.89.134	(中国广东东莞 电信)
119.147.113.52	(中国广东东莞 电信)
183.61.239.183	(中国广东东莞 电信)
59.37.89.179	(中国广东佛山 电信)
116.31.102.53	(中国广东佛山 电信)
14.22.20.210	(中国广东广州 电信)
14.29.100.48	(中国广东广州 电信)
183.2.166.62	(中国广东广州 电信)
58.251.87.202	(中国广东深圳 联通)
183.235.178.9	(中国广东阳江 移动)
111.45.68.124	(中国广东湛江 移动)
112.60.89.74	(中国广东湛江 移动)
14.119.92.7	(中国广东肇庆 电信)
112.60.32.10	(中国广东中山 移动)
113.106.96.62	(中国广东珠海 电信)
171.105.185.58	(中国广西南宁 电信)
171.108.210.211	(中国广西南宁 电信)
211.97.84.51	(中国广西南宁 联通)
220.200.130.78	(中国广西南宁 联通)
36.136.99.146	(中国广西南宁 移动)
220.197.175.139	(中国贵州安顺 联通)
111.123.50.203	(中国贵州贵阳 电信)
113.125.253.44	(中国贵州贵阳 电信)
203.195.76.36	(中国贵州贵阳 电信)
61.243.27.194	(中国贵州贵阳 联通)
220.197.201.51	(中国贵州贵阳 联通)
124.225.108.162	(中国海南海口 电信)
113.59.41.24	(中国海南海口 联通)
144.7.96.68	(中国河北保定 电信)
123.182.95.137	(中国河北承德 电信)
27.128.213.55	(中国河北廊坊 电信)
124.236.19.223	(中国河北石家庄 电信)
124.236.90.13	(中国河北石家庄 电信)
61.182.140.139	(中国河北石家庄 联通)
121.29.13.54	(中国河北石家庄 联通)
106.117.208.14	(中国河北唐山 电信)
101.72.226.59	(中国河北唐山 联通)
36.144.34.148	(中国河北唐山 移动)
106.8.153.31	(中国河北张家口 电信)
123.12.235.51	(中国河南鹤壁 联通)
115.56.90.78	(中国河南焦作 联通)
218.29.204.186	(中国河南开封 联通)
106.46.26.120	(中国河南洛阳 电信)
1.194.174.210	(中国河南郑州 电信)
1.194.175.148	(中国河南郑州 电信)
36.99.183.93	(中国河南郑州 电信)
106.42.232.101	(中国河南郑州 电信)
123.6.2.133	(中国河南郑州 联通)
123.6.40.140	(中国河南郑州 联通)
111.6.214.126	(中国河南郑州 移动)
111.6.217.91	(中国河南郑州 移动)
183.205.174.138	(中国河南郑州 移动)
183.205.178.156	(中国河南郑州 移动)
183.205.179.82	(中国河南郑州 移动)
183.205.181.181	(中国河南郑州 移动)
61.163.111.207	(中国河南驻马店 联通)
42.101.21.239	(中国黑龙江哈尔滨 电信)
42.101.23.164	(中国黑龙江哈尔滨 电信)
42.185.159.88	(中国黑龙江哈尔滨 电信)
111.43.172.211	(中国黑龙江哈尔滨 移动)
113.7.203.9	(中国黑龙江绥化 联通)
122.188.44.183	(中国湖北黄冈 联通)
122.188.45.50	(中国湖北黄冈 联通)
122.188.184.37	(中国湖北荆门 联通)
122.189.171.104	(中国湖北荆州 联通)
119.96.5.62	(中国湖北武汉 电信)
119.96.6.117	(中国湖北武汉 电信)
119.96.140.108	(中国湖北武汉 电信)
119.36.89.133	(中国湖北仙桃 联通)
124.232.233.180	(中国湖南长沙 电信)
175.12.116.205	(中国湖南长沙 电信)
116.162.16.30	(中国湖南长沙 联通)
111.22.10.197	(中国湖南长沙 移动)
120.226.10.140	(中国湖南长沙 移动)
120.226.47.26	(中国湖南长沙 移动)
120.226.81.60	(中国湖南长沙 移动)
120.226.153.57	(中国湖南长沙 移动)
183.214.132.43	(中国湖南长沙 移动)
106.41.206.188	(中国吉林长春 电信)
58.216.6.11	(中国江苏常州 电信)
58.216.20.147	(中国江苏常州 电信)
58.216.28.64	(中国江苏常州 电信)
112.82.145.3	(中国江苏常州 联通)
157.0.9.227	(中国江苏淮安 联通)
223.111.196.12	(中国江苏连云港 移动)
121.228.190.73	(中国江苏苏州 电信)
36.155.107.9	(中国江苏无锡 移动)
58.220.72.130	(中国江苏扬州 电信)
112.84.131.225	(中国江苏扬州 联通)
223.111.191.58	(中国江苏扬州 移动)
222.186.163.56	(中国江苏镇江 电信)
117.42.74.23	(中国江西抚州 电信)
115.150.31.40	(中国江西赣州 电信)
220.177.175.222	(中国江西吉安 电信)
106.225.246.39	(中国江西南昌 电信)
