dlassets.xboxlive.cn

223.244.13.62	(中国安徽合肥 电信)
58.242.249.137	(中国安徽合肥 联通)
112.132.214.4	(中国安徽合肥 联通)
211.91.65.209	(中国安徽合肥 联通)
36.110.220.113	(中国北京 电信)
183.66.103.184	(中国重庆 电信)
219.152.87.113	(中国重庆 电信)
219.152.185.41	(中国重庆 电信)
222.180.167.123	(中国重庆 电信)
59.56.28.52	(中国福建福州 电信)
120.39.213.145	(中国福建福州 电信)
121.204.225.177	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
36.248.35.198	(中国福建福州 联通)
36.250.233.3	(中国福建福州 联通)
27.152.188.165	(中国福建泉州 电信)
117.24.11.72	(中国福建泉州 电信)
36.249.80.85	(中国福建泉州 联通)
118.183.32.129	(中国甘肃兰州 电信)
124.152.197.76	(中国甘肃庆阳 联通)
121.14.142.190	(中国广东东莞 电信)
183.60.155.206	(中国广东东莞 电信)
183.60.227.41	(中国广东东莞 电信)
116.31.102.52	(中国广东佛山 电信)
14.22.20.212	(中国广东广州 电信)
183.2.166.130	(中国广东广州 电信)
183.240.90.196	(中国广东茂名 移动)
120.240.79.2	(中国广东汕头 移动)
58.251.60.41	(中国广东深圳 联通)
183.235.178.78	(中国广东阳江 移动)
59.34.197.45	(中国广东湛江 电信)
183.237.146.115	(中国广东中山 移动)
182.91.255.108	(中国广西桂林 联通)
171.105.63.44	(中国广西南宁 电信)
220.200.130.81	(中国广西南宁 联通)
58.42.59.70	(中国贵州贵阳 电信)
111.124.75.242	(中国贵州贵阳 电信)
111.124.206.131	(中国贵州贵阳 电信)
119.0.80.61	(中国贵州贵阳 电信)
119.0.92.75	(中国贵州贵阳 电信)
203.195.76.30	(中国贵州贵阳 电信)
117.135.198.159	(中国贵州贵阳 移动)
111.85.116.130	(中国贵州黔东南苗族侗族自治州 联通)
124.225.193.108	(中国海南海口 电信)
183.255.33.67	(中国海南海口 移动)
221.195.228.4	(中国河北沧州 联通)
