gst.prod.dl.playstation.net

223.215.189.41	(中国安徽池州 电信)
117.66.45.189	(中国安徽合肥 电信)
117.68.36.135	(中国安徽合肥 电信)
117.68.47.16	(中国安徽合肥 电信)
58.242.249.158	(中国安徽合肥 联通)
61.241.148.235	(中国安徽合肥 联通)
211.91.65.243	(中国安徽合肥 联通)
112.30.176.146	(中国安徽合肥 移动)
60.167.125.120	(中国安徽芜湖 电信)
49.7.69.201	(中国北京 电信)
61.49.23.52	(中国北京 联通)
123.125.244.51	(中国北京 联通)
111.132.36.83	(中国北京 铁通)
111.132.38.20	(中国北京 铁通)
111.13.143.220	(中国北京 移动)
61.128.149.110	(中国重庆 电信)
119.84.164.230	(中国重庆 电信)
183.66.107.96	(中国重庆 电信)
183.66.109.167	(中国重庆 电信)
219.153.187.19	(中国重庆 电信)
58.144.195.127	(中国重庆 联通)
58.144.228.63	(中国重庆 联通)
58.144.241.168	(中国重庆 联通)
111.10.22.249	(中国重庆 移动)
221.178.3.114	(中国重庆 移动)
221.178.10.139	(中国重庆 移动)
221.178.15.52	(中国重庆 移动)
27.148.142.209	(中国福建福州 电信)
27.148.145.250	(中国福建福州 电信)
27.148.201.137	(中国福建福州 电信)
117.27.251.200	(中国福建福州 电信)
121.204.225.187	(中国福建福州 电信)
121.204.229.139	(中国福建福州 电信)
121.204.231.119	(中国福建福州 电信)
36.248.43.78	(中国福建福州 联通)
112.48.228.133	(中国福建福州 移动)
112.48.230.144	(中国福建福州 移动)
220.249.135.16	(中国福建宁德 联通)
106.126.0.76	(中国福建泉州 电信)
112.47.12.55	(中国福建泉州 移动)
112.47.20.77	(中国福建泉州 移动)
112.47.52.52	(中国福建泉州 移动)
110.88.142.138	(中国福建厦门 电信)
112.48.119.129	(中国福建厦门 移动)
112.48.137.31	(中国福建厦门 移动)
183.253.56.240	(中国福建厦门 移动)
60.165.68.107	(中国甘肃兰州 电信)
180.95.171.118	(中国甘肃兰州 联通)
14.17.91.38	(中国广东东莞 电信)
113.105.162.133	(中国广东东莞 电信)
119.147.120.134	(中国广东东莞 电信)
121.12.126.103	(中国广东东莞 电信)
183.60.147.167	(中国广东东莞 电信)
183.60.155.207	(中国广东东莞 电信)
218.16.120.122	(中国广东东莞 电信)
14.29.45.72	(中国广东佛山 电信)
59.37.89.175	(中国广东佛山 电信)
14.215.41.12	(中国广东广州 电信)
121.12.0.59	(中国广东广州 电信)
120.233.171.116	(中国广东广州 移动)
120.233.1.48	(中国广东惠州 移动)
120.240.89.113	(中国广东江门 移动)
183.235.217.182	(中国广东江门 移动)
14.116.174.117	(中国广东深圳 电信)
58.251.60.32	(中国广东深圳 联通)
58.251.62.193	(中国广东深圳 联通)
120.232.58.63	(中国广东深圳 移动)
120.240.156.67	(中国广东深圳 移动)
112.60.32.19	(中国广东中山 移动)
182.91.192.202	(中国广西桂林 联通)
182.91.196.167	(中国广西桂林 联通)
116.8.119.201	(中国广西南宁 电信)
222.216.123.82	(中国广西南宁 电信)
222.218.188.170	(中国广西南宁 电信)
211.97.76.40	(中国广西南宁 联通)
211.97.87.51	(中国广西南宁 联通)
211.97.92.163	(中国广西南宁 联通)
36.136.93.238	(中国广西南宁 移动)
36.136.99.148	(中国广西南宁 移动)
36.136.105.57	(中国广西南宁 移动)
58.42.59.109	(中国贵州贵阳 电信)
58.42.63.91	(中国贵州贵阳 电信)
111.124.71.186	(中国贵州贵阳 电信)
111.124.72.180	(中国贵州贵阳 电信)
119.0.92.240	(中国贵州贵阳 电信)
61.243.27.200	(中国贵州贵阳 联通)
220.197.201.59	(中国贵州贵阳 联通)
117.187.46.88	(中国贵州贵阳 移动)
117.187.187.64	(中国贵州贵阳 移动)
117.187.189.87	(中国贵州贵阳 移动)
117.187.245.239	(中国贵州贵阳 移动)
124.225.27.70	(中国海南海口 电信)
153.0.226.182	(中国海南海口 联通)
110.242.21.124	(中国河北保定 联通)
121.18.168.113	(中国河北保定 联通)
124.238.112.100	(中国河北沧州 电信)
123.182.89.149	(中国河北承德 电信)
123.182.95.208	(中国河北承德 电信)
60.5.255.50	(中国河北邯郸 联通)
101.28.249.107	(中国河北邯郸 联通)
221.193.246.37	(中国河北邯郸 联通)
101.96.148.118	(中国河北石家庄 电信)
124.236.64.169	(中国河北石家庄 电信)
124.236.90.13	(中国河北石家庄 电信)
106.117.208.13	(中国河北唐山 电信)
106.117.241.144	(中国河北唐山 电信)
101.72.226.68	(中国河北唐山 联通)
101.72.228.100	(中国河北唐山 联通)
101.72.233.124	(中国河北唐山 联通)
101.72.248.89	(中国河北唐山 联通)
218.29.204.185	(中国河南开封 联通)
221.15.67.36	(中国河南洛阳 联通)
125.44.105.252	(中国河南漯河 联通)
222.141.205.249	(中国河南漯河 联通)
1.194.175.163	(中国河南郑州 电信)
1.194.195.95	(中国河南郑州 电信)
123.161.58.100	(中国河南郑州 电信)
123.6.37.174	(中国河南郑州 联通)
123.6.53.86	(中国河南郑州 联通)
123.6.85.87	(中国河南郑州 联通)
