tlu.dl.delivery.mp.microsoft.com

223.215.189.47	(中国安徽池州 电信)
220.180.243.218	(中国安徽合肥 电信)
61.241.178.245	(中国安徽合肥 联通)
112.30.221.65	(中国安徽合肥 移动)
36.110.220.113	(中国北京 电信)
220.181.141.68	(中国北京 电信)
113.249.87.130	(中国重庆 电信)
119.84.242.220	(中国重庆 电信)
219.152.87.111	(中国重庆 电信)
219.153.186.246	(中国重庆 电信)
219.153.187.134	(中国重庆 电信)
58.144.195.53	(中国重庆 联通)
58.144.240.98	(中国重庆 联通)
58.144.242.55	(中国重庆 联通)
58.144.243.120	(中国重庆 联通)
58.144.244.58	(中国重庆 联通)
221.178.109.80	(中国重庆 移动)
59.56.23.7	(中国福建福州 电信)
121.204.230.169	(中国福建福州 电信)
121.204.231.16	(中国福建福州 电信)
124.72.129.81	(中国福建福州 电信)
125.77.30.3	(中国福建福州 电信)
125.77.181.190	(中国福建福州 电信)
112.50.96.10	(中国福建福州 移动)
36.249.65.192	(中国福建泉州 联通)
36.250.242.248	(中国福建泉州 联通)
36.250.248.223	(中国福建泉州 联通)
119.233.138.1	(中国福建厦门 福建广电/联通)
125.76.83.94	(中国甘肃兰州 电信)
119.147.113.50	(中国广东东莞 电信)
121.12.126.217	(中国广东东莞 电信)
121.12.174.70	(中国广东东莞 电信)
183.61.188.14	(中国广东东莞 电信)
14.29.51.252	(中国广东佛山 电信)
116.31.102.53	(中国广东佛山 电信)
14.22.20.210	(中国广东广州 电信)
14.29.100.49	(中国广东广州 电信)
59.42.244.13	(中国广东广州 电信)
121.14.45.4	(中国广东广州 电信)
120.233.172.91	(中国广东广州 移动)
120.233.188.227	(中国广东广州 移动)
120.234.167.107	(中国广东广州 移动)
183.236.57.98	(中国广东广州 移动)
183.240.236.63	(中国广东广州 移动)
183.240.90.193	(中国广东茂名 移动)
58.251.57.95	(中国广东深圳 联通)
120.232.58.87	(中国广东深圳 移动)
120.232.245.101	(中国广东深圳 移动)
183.240.136.204	(中国广东深圳 移动)
183.237.146.137	(中国广东中山 移动)
182.91.248.107	(中国广西桂林 联通)
171.105.185.57	(中国广西南宁 电信)
171.105.192.127	(中国广西南宁 电信)
171.108.209.190	(中国广西南宁 电信)
171.108.210.125	(中国广西南宁 电信)
171.108.211.12	(中国广西南宁 电信)
171.108.212.61	(中国广西南宁 电信)
171.108.213.49	(中国广西南宁 电信)
171.108.215.42	(中国广西南宁 电信)
171.108.216.11	(中国广西南宁 电信)
222.216.230.73	(中国广西南宁 电信)
211.97.81.220	(中国广西南宁 联通)
211.97.84.51	(中国广西南宁 联通)
111.123.42.196	(中国贵州贵阳 电信)
111.123.56.184	(中国贵州贵阳 电信)
111.123.57.105	(中国贵州贵阳 电信)
111.124.64.240	(中国贵州贵阳 电信)
111.124.192.55	(中国贵州贵阳 电信)
119.0.81.66	(中国贵州贵阳 电信)
119.0.92.220	(中国贵州贵阳 电信)
119.0.111.62	(中国贵州贵阳 电信)
203.195.76.30	(中国贵州贵阳 电信)
61.243.27.192	(中国贵州贵阳 联通)
36.101.206.182	(中国海南海口 电信)
124.225.13.107	(中国海南海口 电信)
124.225.27.61	(中国海南海口 电信)
113.59.41.34	(中国海南海口 联通)
183.255.16.66	(中国海南海口 移动)
183.255.118.62	(中国海南海口 移动)
116.131.56.179	(中国河北保定 联通)
123.182.95.202	(中国河北承德 电信)
121.17.252.7	(中国河北衡水 联通)
27.128.217.33	(中国河北廊坊 电信)
121.29.13.54	(中国河北石家庄 联通)
101.72.248.60	(中国河北唐山 联通)
101.72.249.59	(中国河北唐山 联通)
106.8.153.31	(中国河北张家口 电信)
106.8.158.230	(中国河北张家口 电信)
61.54.15.1	(中国河南安阳 联通)
222.143.140.100	(中国河南鹤壁 联通)
218.29.50.248	(中国河南开封 联通)
221.15.64.3	(中国河南洛阳 联通)
1.194.175.177	(中国河南郑州 电信)
123.161.58.105	(中国河南郑州 电信)
123.6.105.16	(中国河南郑州 联通)
183.205.180.166	(中国河南郑州 移动)
1.189.232.68	(中国黑龙江哈尔滨 联通)
61.167.56.183	(中国黑龙江哈尔滨 联通)
202.97.231.75	(中国黑龙江哈尔滨 联通)
111.43.185.89	(中国黑龙江哈尔滨 移动)
1.56.100.56	(中国黑龙江鹤岗 联通)
122.156.130.201	(中国黑龙江黑河 联通)
218.10.9.82	(中国黑龙江齐齐哈尔 联通)
222.170.203.85	(中国黑龙江双鸭山 电信)
113.7.221.19	(中国黑龙江绥化 联通)
122.188.44.50	(中国湖北黄冈 联通)
122.188.45.139	(中国湖北黄冈 联通)
122.189.168.191	(中国湖北荆州 联通)
119.96.5.56	(中国湖北武汉 电信)
